Sentence,Entity,Sentiment
"to be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of teodora.",food,positive
"the food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,positive
"not only was the food outstanding, but the little 'perks' were great.",food,positive
it is very overpriced and not very tasty.,price,negative
nevertheless the food itself is pretty good.,food,positive
"don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",food,positive
"best of all is the warm vibe, the owner is super friendly and service is fast.",service,positive
"from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,positive
"from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,positive
"great food at reasonable prices, makes for an evening that can't be beat!",price,positive
"great food at reasonable prices, makes for an evening that can't be beat!",food,positive
this little place has a cute interior decor and affordable city prices.,price,positive
the price is reasonable although the service is poor.,price,positive
the price is reasonable although the service is poor.,service,negative
it's a perfect place to have a amanzing indian food.,food,positive
the place is so cool and the service is prompt and curtious.,service,positive
"ive been to many thai restaurants in manhattan before, and toons is by far the best thai food ive had (except for my mom's of course).",food,positive
"nice atmosphere, the service was very pleasant and the desert was good.",service,positive
"fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,positive
"fabulous service, fantastic food, and a chilled out atmosphere and environment.",service,positive
"pricey, but worth a try, at least once.",price,negative
"great food, good size menu, great service and an unpretensious setting.",food,positive
"great food, good size menu, great service and an unpretensious setting.",service,positive
"unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,positive
they are often crowded on the weekends but they are efficient and accurate with their service.,service,positive
"the atmosphere is unheralded, the service impecible, and the food magnificant.",food,positive
"the atmosphere is unheralded, the service impecible, and the food magnificant.",service,positive
"the wait staff is friendly, and the food has gotten better and better!",food,positive
"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.",food,positive
"though the spider roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",price,positive
"an oasis of refinement:  food, though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",food,positive
i love indian food and consider myself to be quite an expert on it.,food,positive
"from the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",food,negative
"from the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",service,negative
lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for four dollars.,food,positive
not impressed with the food.,food,negative
service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,service,positive
they have authentic indian at amazin prices.,price,positive
tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,price,positive
"food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",food,negative
the food always tastes fresh and served promptly.,food,positive
"for great chinese food nearby, you have wu liang ye and grand sichuan just a block away.",food,positive
"this place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",food,negative
"service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",service,negative
its an excellent place to relax and the food is one of the best in the city of new york.,food,positive
"service is friendly, and never had a problem walking in and getting a table.",service,positive
the food was bland oily.,food,negative
"what is even better, is that the prices are very affordable as well, and the food is really good.",price,positive
"what is even better, is that the prices are very affordable as well, and the food is really good.",food,positive
"the food, drinks and service are clearly among the best in the city.",food,positive
"the food, drinks and service are clearly among the best in the city.",service,positive
"i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",food,positive
"i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",service,positive
"granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",service,positive
the service was attentive and her suggestions of menu items was right on the mark.,service,positive
"the environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",food,negative
"the environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",service,negative
"if you're craving for haru's great food, especially the house roll, but can't stand the wait building outisde, head across the street to their sake bar!",food,positive
the food is great.,food,positive
decent wine at reasonable prices.,price,positive
would have rather tried terrace in the sky or water club for that price,price,negative
the only thing more wonderful than the food (which is exceptional) is the service.,food,positive
the only thing more wonderful than the food (which is exceptional) is the service.,service,positive
"the food was just awful, atrocious actually.",food,negative
the waitress suggested glasses of wine that went very well with the food.,food,positive
"they might be all business at the counter when you give your order, but their food says i love you.",food,positive
the service is awful.,service,negative
i think this would be a pretty good spot if it were not so overpriced and overrated.,price,negative
"the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if i must recommend a dish it must be the pumkin tortelini.",food,positive
very good service and very good prices.,price,positive
very good service and very good prices.,service,positive
"the service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",service,positive
our food was great too!,food,positive
"the service, wine selection, ambiance are all outstanding and deserve recognition.",service,positive
"it's really also the service, is good and the waiters are friendly.",service,positive
lived in shanghai most of my life and thought the food was comparable to the flagship green bo restaurant there.,food,positive
"i highly recommend cafe st. bart's for their food, the ambience and wonderful service.",food,positive
"i highly recommend cafe st. bart's for their food, the ambience and wonderful service.",ambience,positive
"i highly recommend cafe st. bart's for their food, the ambience and wonderful service.",service,positive
the food here does a great service to the name (cantonese that is...).,food,positive
joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere.,food,positive
too bad the food wasn't of the same heritage.,food,negative
"the food was really good, i had the onion soup and it was one of the best ever.",food,positive
"the food was terrific and the service classy, attentive, without being overbearing.",food,positive
"the food was terrific and the service classy, attentive, without being overbearing.",service,positive
quick and friendly service.,service,positive
somewhat pricey but what the heck.,price,negative
"head and shoulders above its neighboors on east 6 st, taj mahal is also very comparable, in food quality, to the much overpraised (and underdeserving) baluchi's.",food,positive
as we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,food,negative
great indian food and the service is incredible.,food,positive
great indian food and the service is incredible.,service,positive
"decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well.",food,positive
"for the people who want great food plus great service, roxy is a place to avoid!",food,negative
"for the people who want great food plus great service, roxy is a place to avoid!",service,negative
ive been here a bunch of times now and the service is always outstanding.,service,positive
"the food is great, service is ok.",food,positive
"the overall price tag was very very expensive, something i did expect.",price,negative
"spice is great thai food, love the inexpensive appetizers.",food,positive
the service was attentive.,service,positive
we visited bread bar during january restaurant week and were so pleased with the menu selections and service.,service,positive
"the rest of the dim sum, though pricey by chinatown standards, is worth it.",price,negative
good food.,food,positive
service has always been friendly and efficient.,service,positive
prices are very good.,price,positive
plain and simple it's bad thai food.,food,negative
food-awesome.,food,positive
"good music, great food, speedy service affordable prices.",price,positive
"good music, great food, speedy service affordable prices.",food,positive
"good music, great food, speedy service affordable prices.",service,positive
the lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,price,negative
"for some reason, all the seafood on the menu was unavailable except for the salmon.",food,negative
"otherwise, this place has great service and prices and a nice friendly atmosphere.",price,positive
"otherwise, this place has great service and prices and a nice friendly atmosphere.",service,positive
highly recommend this as great value for excellent sushi and service.,service,positive
this place would be so much better served by being run by a group that actually understands customer service.,service,negative
a++   the service was good to excellent along with the attitude.,service,positive
the food is awesome - definitely try the striped bass.,food,positive
"i wouldn't even have complained at all if the food at least tasted good but the quality of food was crappy, too.",food,negative
"the decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices.",price,positive
"the decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices.",food,positive
"great friendly service, fast seating, fast delivery, excellent sushi.",service,positive
"the italian food has flavor (that can be sort of surprising on the ues), and the service turns from a nightmare to attentive,they sort of remind me of the ny yankees of the late 90's, no matter how bad it look, you knew that there was a rally just around the corner...",food,positive
"i found the food to be outstanding, particulary the salmon dish i had.",food,positive
baluchi's has solid food and a nice decor at reasonable prices.,price,positive
baluchi's has solid food and a nice decor at reasonable prices.,food,positive
"the seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",food,positive
"the food was just ok, at least for what food was available.",food,negative
the waitress was very patient with us and the food is phenomenal!,food,positive
"the ambience was nice, but service wasn't so great.",ambience,positive
"the ambience was nice, but service wasn't so great.",service,negative
the location and ambience is ok but the food is what makes up for it.,food,positive
i love and i know gourmet food by excellence!,food,positive
he offers subpar service and has no personality.,service,negative
diner food at bistro prices is a bummer....,price,negative
"while we thoroughly enjoyed the food, it was annoying to scream across the table for conversation.",food,positive
all the food was hot tasty.,food,positive
much more reasonably priced too!,price,positive
"the food was not very tasty, the portioins were tiny even for such a high quality restaurant.",food,negative
"while the $20 entree range is not overly expensive, in new york city, there is definitely better food in that range, and so sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which i will return.",food,negative
"orsay, is without a doubt one of the best values for authentic french food in nyc.",food,positive
"well, their deliveries take for ever and the food is usually cold.",food,negative
"we went here for lunch a couple of weeks ago on a saturday, and i was thoroughly impressed with the food.",food,positive
the food is great and authentic.,food,positive
"anyway, the food is good, the price is right and they have a decent wine list.",price,positive
"anyway, the food is good, the price is right and they have a decent wine list.",food,positive
prices are higher to dine in and their chicken tikka marsala is quite good.,price,negative
the food was lousy - too sweet or too salty and the portions tiny.,food,negative
the food was great.,food,positive
pair you food with the excellent beers on tap or their well priced wine list.,price,positive
pair you food with the excellent beers on tap or their well priced wine list.,food,positive
all of my co-workers stated that the food was amazing and wondered why they hadn't heard about this place.,food,positive
"quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",price,positive
"quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",food,positive
the appetizing is excellent - just as good as zabars barney greengrass at a reasonable price (if bought by the pound).,price,positive
"the food is fresh, delicious, and reasonably priced.",price,positive
"the food is fresh, delicious, and reasonably priced.",food,positive
although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.,service,positive
"the food was very good, a great deal, and the place its self was great.",food,positive
the food options rule.,food,positive
"authentic food and they have real service, not just the rush you get sometimes when they try to push you out the door.",food,positive
"authentic food and they have real service, not just the rush you get sometimes when they try to push you out the door.",service,positive
"i am amazed by the poor reviews- i find this place to be standout italian in an area flooded with italian- great prices, great atmosphere, good service and a wonderful wine list.",price,positive
"i am amazed by the poor reviews- i find this place to be standout italian in an area flooded with italian- great prices, great atmosphere, good service and a wonderful wine list.",service,positive
the food is great and reasonably priced.,price,positive
the food is great and reasonably priced.,food,positive
"the food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",food,positive
the food is prepared quickly and efficiently.,food,positive
"for all of you new to indian food, try the paneer roll, it is a piece of heaven.",food,positive
the food looked very appetizing and delicious since it came on a variety of fancy plates.,food,positive
"the food is terrible and overall, i would have to say avoid at all costs.",food,negative
"unfortunately, the food was not something to get worked up about.",food,negative
"it's constantly open, catering to the pakistani cabbies lined up on crosby st., so there's more turnover with the food than you'd expect (i.e., surprisingly fresh).",food,positive
he takes real pride in his food and his business.,food,positive
"over the years, it has always provided a pleasurable dining experience with quality food and wine.",food,positive
i cannot imagine better indian food in all of the city.,food,positive
we were fans of the half-price saturday night option until some inedible squid during a recent visit.,price,positive
the food is reliable and the price is moderate.,food,positive
"while the ambiance and atmosphere were great, the food and service could have been a lot better.",food,negative
"while the ambiance and atmosphere were great, the food and service could have been a lot better.",service,negative
"planet thailand has always been a hit with me , i go there usually for the sushi, which is great , the thai food is excellent too .",food,positive
i had to share my table with a loud group of kids and the service was rude an unattentive.,service,negative
the food is usually good but it certainly isn't a relaxing place to go.,food,positive
the prices were fantastic.,price,positive
"i've been to sapphire twice and both times the food was fine, if not good.",food,positive
"service was prompt, friendly and great.",service,positive
"whenever you need a sushi fix, mizu will be there with quality fish and great service.",service,positive
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,price,positive
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,positive
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,service,positive
"for many people, this may not seem like aunthentic thai food because most places in nyc arent quite authentic.",food,negative
service is top notch.,service,positive
the food now is inconsistent.,food,negative
we thought that this place is using too much of msg cooking in the foods.,food,negative
service was quick.,service,positive
drawbacks: service is slow and they don't toast!,service,negative
"we've been following chef lyle's food around new york for 15 years and while remaining classic, his innovations with bistro fare have made us return and return.",food,positive
"even though its good seafood, the prices are too high.",price,negative
"even though its good seafood, the prices are too high.",food,positive
"in addition, the food is very good and the prices are reasonable.",price,positive
"in addition, the food is very good and the prices are reasonable.",food,positive
reasonable prices.,price,positive
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,service,positive
it won't break the bank but i also wouldnt come back for the food.,food,negative
taj mahal offeres gret value and great food.,food,positive
they even have a section in the menu called american chinese food!,food,negative
"service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared.",service,positive
"best italian food i ever had (and being italian, that means alot).",food,positive
i will recommend scopa to all of my friends for a place to go for wonderful italian food.,food,positive
i really loved the different and inovated touch that's the cheff gives to the food.,food,positive
"the food is good, especially their more basic dishes, and the drinks are delicious.",food,positive
the food is delicious and beautifully prepared along with the friendly and personable service.,food,positive
the food is delicious and beautifully prepared along with the friendly and personable service.,service,positive
we had a great tiem watching the shows and characters and ar food was just what we were looking for.,food,positive
sauce was watery and the food didn't have much flavor.,food,negative
"not sure where the previous reviewer, lonk, dined, but saul is in a great neighborhood and has great food!",food,positive
"in an area sadly lacking in decent thai food, this is one of the best spots.",food,positive
the food was average or above including some surprising tasty dishes.,food,positive
the food's as good as ever.,food,positive
"the food was undercooked-the sauce watery, and the vegetables raw.",food,negative
the prices are wonderfully low.,price,positive
if you like spicy food get the chicken vindaloo.,food,positive
"so much more than the usual bar food, go there to enjoy the menu while sampling one of their hand-crafted beers.",food,positive
this is my first time writing a review for a restaurant because the food and service was excellent.,food,positive
this is my first time writing a review for a restaurant because the food and service was excellent.,service,positive
have frequented 'ino for several years and the food remains excellent.,food,positive
"each bite of food at kai was indeed delicious, fresh, and elegant.",food,positive
all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.,price,positive
all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.,food,positive
"it's a shame that a nice, convenient place like the pink pony can be so ruined by lousy service.",service,negative
"the porcini mushroom pasta special was tasteless, so was the seafood tagliatelle.",food,negative
the food portions are really large.,food,positive
"friendly and informative staff, very attentive and prompt raw bar service.",service,positive
best taiwanese food in ny!,food,positive
this place is a great stop for great food.,food,positive
and the prices were way to high for what you get.,price,negative
"yet paired with such rude service, would never recommend for anyone interested in carrying any kind of conversation while there.",service,negative
"great wine list, reasonably priced.--sara",price,positive
"while the food was excellent, it wasn't cheap (though not extremely expensive either).",food,positive
delivery service is great too.,service,positive
"the food's dazzling flavors overwhelm the palate, truly embracing the beauty of authentic thai cuisine.",food,positive
i recieved prompt service with a smile.,service,positive
the food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,food,positive
"as much as i like the food there, i can't bring myself to go back.",food,positive
the prices and ambience are especially great considering it's in the west village.,price,positive
the prices and ambience are especially great considering it's in the west village.,ambience,positive
"not the food ,not the ambiance , not the service, i agree with the previous reviews you wait and wait , the wait staff are very rude and when you get in they are looking to get you right out .",service,negative
we were very surprised by how good the food was on our first visit here on a sunday night.,food,positive
"on the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with alain ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity.",food,negative
the food is amazing!!!!,food,positive
"having not been home in the last 2 years may skew this reviewer a bit, but the food was tasty and spicy sans the oil that comes floating along at similar venues.",food,positive
"the portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.",service,positive
"for the price, you cannot eat this well in manhattan.",price,positive
"with so many good restaurants on the uws, i don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",price,negative
"with so many good restaurants on the uws, i don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",food,negative
"with so many good restaurants on the uws, i don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",service,negative
the service is a little scatty at times but all is forgiven when the food arrives.,food,positive
the service is a little scatty at times but all is forgiven when the food arrives.,service,negative
"the atmosphere isn't the greatest , but i suppose that's how they keep the prices down .",price,positive
"if your favorite chinese food is general tao chicken, then this is not your place.",food,negative
"not only is the cuisine the best around, the service has always been attentive and charming.",service,positive
"the production is a symphony, alot of fun to experience.the food sublime for the most part.",food,positive
"waiters tend to forget drinks completely, food portions are so tiny, two people have trouble sharing one entree.",food,negative
"interesting selection, good wines, service fine, fun decor.",service,positive
priced at upper intermediate range.,price,negative
"if you live in new york city, you'll find better food at small restaurants outside of time square and spend half the amount.",food,negative
"they didn't disappoint, service from the second i arrived at the door was extremely pleasant and attentive with almost one server per table.",service,positive
the food is great and they have a good selecion of wines at reasonable prices.,price,positive
the food is great and they have a good selecion of wines at reasonable prices.,food,positive
"for the location, the prices are very reasonable.",price,positive
my friend's food was also the complete opposite of what it's supposed to taste like (and look like).,food,negative
"we have been to this place many times, and always have great food, wine, and service.",food,positive
"we have been to this place many times, and always have great food, wine, and service.",service,positive
"haru serves very fresh fish, has a trendy, modern ambiance, prime location on park avenue south and friendly service.",service,positive
"very romantic fires - i've literally spent hours at lanterna, drinking wine from their extensive wine and enjoying the ambience.",ambience,positive
"great food, great prices, great service.",price,positive
"great food, great prices, great service.",food,positive
"great food, great prices, great service.",service,positive
"this place, however, has a lot less pretension than joya and the thai food is still above-average.",food,positive
food is great.,food,positive
"but when you are seated the waitresses are great, they explain everything on the menu, and the price of the food is really cheap for the service you get.",price,positive
"but when you are seated the waitresses are great, they explain everything on the menu, and the price of the food is really cheap for the service you get.",service,positive
go to volare for 1st class service and terrific food.,food,positive
go to volare for 1st class service and terrific food.,service,positive
"it's super-trendy and there's always someone to take that empty seat, so it seems that customer service has been deemed not of the essence.",service,positive
"the sandwiches are dry, tasteless and way overpriced.",price,negative
price no more than a jersey deli but way better.,price,positive
"a very inviting restaurant, with friendly service.",service,positive
the drinks are always welll made and wine selection is fairly priced.,price,positive
not a small feat for good french food in the area.,food,positive
food was average but tasty.,food,positive
delicious food at a great price but do not go here on a cold day and sit by the front door.,price,positive
delicious food at a great price but do not go here on a cold day and sit by the front door.,food,positive
"overall, i'm still impressed that the place even exists and the prices are quite decent but then again, its chinatown.",price,positive
"the food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers.",food,positive
i'm still mad that i had to pay for lousy food.,food,negative
definite go if you're used to good indian restaurant food from abroad.,food,positive
"decent thai food in cute - though a bit dank - little nolita hangout, but service terrible.",food,positive
"decent thai food in cute - though a bit dank - little nolita hangout, but service terrible.",service,negative
"the food is mostly made from scratch, fresh and well prepared.",food,positive
sushi wasn't anything spectacular for the price.,price,negative
"so, for good food i'd recommend it, but not for a fun night out.",food,positive
the exotic food is beautifully presented and is a delight in delicious combinations.,food,positive
service was prompt and courteous.,service,positive
"disappointing food, lousy service.",food,negative
"disappointing food, lousy service.",service,negative
"if you want a casual neighborhood bistro that has great food and excellent service, this is the place.",food,positive
"if you want a casual neighborhood bistro that has great food and excellent service, this is the place.",service,positive
"over price, and small portions .",price,negative
the food was well prepared and the service impecable.,food,positive
the food was well prepared and the service impecable.,service,positive
while the food was good (certainly no il mulino) the service was horrendous.,food,positive
while the food was good (certainly no il mulino) the service was horrendous.,service,negative
service is not what one would expect from a joint in this price category.,service,negative
the food was very expensive (we spent $160 for lunch for two) but extremely tasty.,food,positive
"the signs, the specials menus, food, and even all the waitstaff are all totally japanese.",food,positive
the food was absolutely amazing!!,food,positive
"an excellent alternative to fast food joints and ordering in but, the food was slightly disappointing.",food,negative
mermaid inn is an overall good restaurant with really good seafood.,food,positive
all of the pizzas are terrific and the price is even better!,price,positive
"it is about food and ambiance, and imagine how dreadful it will be it we only had to listen to an idle engine.",food,negative
the food was good too.,food,positive
the menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them.,food,positive
"great food, great lay out and awesome service.",food,positive
"great food, great lay out and awesome service.",service,positive
i have lived in japan for 7 years and the taste of the food and the feel of the restaurant is like being back in japan.,food,positive
"they have it all -- great price, food, and service.",price,positive
"they have it all -- great price, food, and service.",food,positive
"they have it all -- great price, food, and service.",service,positive
"the food was amazing, the service was so attentive and personable, and how about that ambience!",food,positive
"the food was amazing, the service was so attentive and personable, and how about that ambience!",ambience,positive
"the food was amazing, the service was so attentive and personable, and how about that ambience!",service,positive
the food has been consistant for years and it never lets you down.,food,positive
sometimes i get good food and ok service.,food,positive
the food was spicy and delicious.,food,positive
"anyways, if you're in the neighborhood to eat good food, i wouldn't waste my time trying to find something, rather go across the street to tamari.",food,negative
this was my frist time at cafe st. bart's and i must say how delicous the food and the service was.,food,positive
this was my frist time at cafe st. bart's and i must say how delicous the food and the service was.,service,positive
"while we enjoyed the food, we were highly disappointed by the poor service (waiter was not quite competent and slow service) and lack of remorse.",food,positive
"while we enjoyed the food, we were highly disappointed by the poor service (waiter was not quite competent and slow service) and lack of remorse.",service,negative
"the service, however, was a bright flower in a garden.",service,positive
nothing fancy but really good food with pretty reasonable price.,price,positive
nothing fancy but really good food with pretty reasonable price.,food,positive
"the chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",service,positive
not worth the prices.,price,negative
service was good and food is wonderful.,food,positive
service was good and food is wonderful.,service,positive
she gets 10 for her excellent service and advice.,service,positive
"being a fan of spicy ethnic foods, indian included, i made friends with this place long ago.",food,positive
the quality of food at this restaurant accompanied  by fantastic live jazz makes this place a perfect 10!,food,positive
"i have eaten at saul, many times, the food is always consistently, outrageously good.",food,positive
sandwiches tho pricey are over stuffed - can serve 2 persons easily thus cost effective!,price,positive
"if presentation and service is your thing, then this magic show works.",service,positive
why do people rave about the ambience.,ambience,negative
"if you're looking for a great meal at a decent price, go to del frisco's!",price,positive
"although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",food,positive
"although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",service,positive
the food was delicious and the waiter was incredibly helpful and attentive (considering we were the only ones there for the first hour).,food,positive
"ambience is delightful, service impeccable.",ambience,positive
"ambience is delightful, service impeccable.",service,positive
