Sentence,Entity,Sentiment
"service was excellent, and the ac worked very well too (thank god, it was hot!).",service,positive
"the staff was accomodating, the food was absolutely delicious and the place is lovely.",food,positive
"my picks are:  - scallion pancake (fried with vegetable juice, very special and tasty)  - guizhou chicken  - shredded squid family style (one of my personal favorites)  - sichuan spicy soft shell crab  - shuizhu fish (this one is for hardcore sichuan food fans, i wouldn't recommend to my american friends as it's very spicy.",food,positive
"but for whatever reason, prices are about twice as high.",price,negative
i am relatively new to the area and tried pick a bgel on 2nd and was disappointed with the service and i thought the food was overated and on the pricey side.,price,negative
i am relatively new to the area and tried pick a bgel on 2nd and was disappointed with the service and i thought the food was overated and on the pricey side.,food,negative
i am relatively new to the area and tried pick a bgel on 2nd and was disappointed with the service and i thought the food was overated and on the pricey side.,service,negative
"excellent atmosphere, delicious dishes good and friendly service.",service,positive
great food and the prices are very reasonable.,price,positive
great food and the prices are very reasonable.,food,positive
"a cool bar with great food, and tons of excellent beer.",food,positive
the ambience is authentic and relaxing and we have always received attentive and prompt service.,ambience,positive
the ambience is authentic and relaxing and we have always received attentive and prompt service.,service,positive
"great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom.",food,positive
"great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom.",service,positive
"great service, great food.",food,positive
"great service, great food.",service,positive
"the food is expensive, but worth every bite.",food,positive
"sometimes i get bad food and bad service, sometimes i get good good and bad service.",service,negative
"it's the perfect restaurant for ny life style, it got cool design, awsome drinks and food and lot's of good looking people eating and hanging at the pink bar...",food,positive
"if you love seafood, you would love this place!",food,positive
"good, fast service.",service,positive
they charge different prices all the time.,price,negative
"i was in love with pongsri on 48th, but compared to suan it is slow in service and overpriced.",price,negative
"i was in love with pongsri on 48th, but compared to suan it is slow in service and overpriced.",service,negative
"the staff is accomodating, the ambiance is exciting and yet relaxed, and the food is out of this world!",food,positive
"the food was delicious (i had a halibut special, my husband had steak), and the service was top-notch.",food,positive
"the food was delicious (i had a halibut special, my husband had steak), and the service was top-notch.",service,positive
it's the only place you can get yummy authentic japanese comfort food.,food,positive
we took advanatage of the half price sushi deal on saturday so it was well worth it.,price,positive
the prices were cheap compared to the quality of service and food.,price,positive
the prices were cheap compared to the quality of service and food.,food,positive
the prices were cheap compared to the quality of service and food.,service,positive
the food was authentic.,food,positive
the dim sum is delectable while the prices are quite easy on the wallet.,price,positive
there is no excuse for such lousy service!,service,negative
i must say it's a little pricey for the food because it was not as spectacular as the view.,price,negative
no gimmicks here -- the food speaks for itself in its freshness and preparation.,food,positive
one should not go to lucky strike for the food.,food,negative
the service is awful--the last time i was there (and i do mean the last time) we were told that they needed our table so we would have to leave.,service,negative
we were also seated promptly at the time of our reservation and the service was very quick and professional.,service,positive
the food there are sastifying.,food,positive
the food was good.,food,positive
"when we sat, we got great and fast service.",service,positive
"the service was poor, restaurant poorly lit, staff not very attentive and i would have rather eaten at a mcdonald's than this joint.",service,negative
service was slow had to wait to order and get food although not crowded.,service,negative
"the food was below average, the service was pathetic, there was no ambience at all.",food,negative
"the food was below average, the service was pathetic, there was no ambience at all.",ambience,negative
"the food was below average, the service was pathetic, there was no ambience at all.",service,negative
service was efficient courteous.,service,positive
"while the prices are nothing special, the portions are huge.",price,positive
"the menu is prix fixe, so be prepared to spend at least $60 per person, but it is well worth itsuperb food.",food,positive
decor is nice though service can be spotty.,service,positive
"aside from the rushed service, we were very impressed with the food and the drinks.",food,positive
"aside from the rushed service, we were very impressed with the food and the drinks.",service,negative
they've the best desserts and mixed drinks as well as snack foods.,food,positive
"the blond wood decor is very soothing, the premium sake is excellent and the service is great.",service,positive
service was very good and warm.,service,positive
food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when i went.,food,positive
the food is nothing like its menu description.,food,negative
the food is above average for midtown and sligtly better than some of the other heartland breweries in the city.,food,positive
the food was absolutely horrible!,food,negative
"the people with carts of food don't understand you because they don't speak english, their job is to give you the delicious food you point at.",food,positive
drinks way over priced.,price,negative
what i didn't like was how the food came right after it was ordered.,food,negative
"most importantly, food is excellent.",food,positive
the food was mediocre at best but it was the horrible service that made me vow never to go back.,service,negative
"the service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.",service,negative
"other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good!",price,negative
"other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good!",food,positive
rao's has the best service and atmosphere in nyc.,service,positive
service was also horrible and the ambience is not that great.,ambience,negative
service was also horrible and the ambience is not that great.,service,negative
"service is great, takeout is good too.",service,positive
the pizza is overpriced and soggy.,price,positive
"for the quality of food, a little too expensive.",food,negative
i've never had bad service and the fish is fresh and delicious.,service,positive
"everything is always cooked to perfection, the service is excellent, the decor cool and understated.",service,positive
the thai food is good.,food,positive
"great selection of wine, and seafood.",food,positive
acceptable prices.,price,positive
definitely not worth the price!,price,negative
"orsay, is a very pleasnt throw back to traditional french food, and french service as well.",food,positive
"orsay, is a very pleasnt throw back to traditional french food, and french service as well.",service,positive
great food at reasonable prices.,price,positive
great food at reasonable prices.,food,positive
the prices are about $9 for an entree for dinner and even less for lunch.,price,positive
and you can't beat the prices.,price,positive
prices too high for this cramped and unappealing resturant.,price,negative
"everything, from the soft bread, soggy salad, and 50 minute wait time, with an incredibly rude service to deliver below average food.",food,negative
"everything, from the soft bread, soggy salad, and 50 minute wait time, with an incredibly rude service to deliver below average food.",service,negative
the menu prices are a bit expensive for what you get in quality and portion size.,price,negative
"the food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",food,positive
"the food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",service,positive
"the food was not fresh, the sauces were bland and very oily.",food,negative
could be pricey without a prix fixe meal.,price,negative
the service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,food,positive
the service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,service,positive
scalina fedeli reminded me why service is so integral to fine dining.,service,positive
"everything looks great, the drinks, the decor, the food, even the people.",food,positive
my fiance took me to scopa last week for my birthday and i couldn't believe the food.,food,positive
"the halibut was too salty, dessert was so so (don't waste any of your calories) and service was poor.",service,negative
"the view is spectacular, and the food is great.",food,positive
"the food is wonderful, tasty and filling, and the service is professional and friendly.",food,positive
"the food is wonderful, tasty and filling, and the service is professional and friendly.",service,positive
it is also extremely well priced.,price,positive
always great service!,service,positive
i am happy i did the food was awsome.,food,positive
my wife and i ate here earlier this week and have not stopped ranting and raving about the food.,food,positive
the food itself was just ok - nothing spectacular - but the service was awful.,service,negative
good food.,food,positive
"however, go for the ambience, and consider the food just a companion for a trip across the world!",food,negative
"however, go for the ambience, and consider the food just a companion for a trip across the world!",ambience,positive
incredible food at a very agreable price brings me back just about every other day to this authentic thai restaurant.,price,positive
incredible food at a very agreable price brings me back just about every other day to this authentic thai restaurant.,food,positive
a little pricey but it really hits the spot on a sunday morning!,price,negative
"the staff isn't the friendliest or most competent, and i am stickler for service, but everything else about this place makes up for it.",service,negative
i have been coming here for years and have nothing but good things to say about the service and the great staff at la lanterna.,service,positive
"it cannot be the ambience, because the place is very cramped and some guests have to sit in an aisle.",ambience,negative
authentic pakistani food.,food,positive
"quality ingredients preparation all around, and a very fair price for nyc.",price,positive
"service was very good - prompt, attentive and non-intrusive.",service,positive
"my entree of hot pot with seafood was full of imitation crabmeat with a couple pieces of shrimp and squid, and was unnecessarily heated with a burner.",food,negative
"in fact, while leaving the place we saw two people looking at the menu, and i couldn't help telling them that the food was horrible.",food,negative
"if you want americanized chinese food with your usual watery, generic white sauce, this is your place.",food,negative
"service is friendly, prices are good - delivery time was a little slow, but for the way this pizza tastes, i'm willing to overlook it.",price,positive
the food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,food,positive
"the service is excellent, the decor is great, and the food is delicious and comes in large portions.",food,positive
"the service is excellent, the decor is great, and the food is delicious and comes in large portions.",service,positive
an excellent service,service,positive
"food is average, and i would say even the chain restaurant baluchi's tastes better.",food,negative
the place is small and cramped but the food is fantastic.,food,positive
the food is tasty and portion sizes are appropriate.,food,positive
the food there is so good that even to order out the wait is incredible.,food,positive
"for authentic thai food, look no further than toons.",food,positive
"the highlight of the night was the mayonaisse for my side of fries i received from one of the food runners, which is not good considering the bill was nearly $100.",food,negative
the ambience is very romantic and definitely a good place to bring a date.,ambience,positive
"the food is very good for it's price, better than most fried dumplings i've had.",price,positive
"the food is very good for it's price, better than most fried dumplings i've had.",food,positive
there are much better places in ny with better prices.,price,negative
the ambience is very calm and quiet.,ambience,positive
"both times i was extremely dissappointed by the service, which was boarderline rude.",service,negative
the spicy tuna roll is huge and probably the best that i've had at this price range.,price,positive
price and quality of fish alone will keep us from making a return visit.,price,negative
this is one of the best comfort food places in the city.,food,positive
"considering their price of $6.25 for lunch special, the dish was ridiculously small.",price,negative
this is the pinnacle of indian fast food (all fast foods in my opinion).,food,positive
"besides, when you have bad service, that's less money you have to tip.",service,negative
"service was devine, oysters where a sensual as they come, and the price can't be beat!!!",price,positive
"service was devine, oysters where a sensual as they come, and the price can't be beat!!!",service,positive
ballato's is consistently delicious authentic italian food.,food,positive
"the service was attentive, yet discreet.",service,positive
for those prices and the dressed up atmosphere you expect more and should get more.,price,negative
we went to eat at the jekyll and hyde restaurant on friday night and really enjoyed the fun atmosphere and good food.,food,positive
the food was pretty tradional but it was hot and good with large portions.,food,positive
you have to increase the service a lot.,service,negative
"service is extraordinary, yet not overbearing, and the decor brings a taste of trendy soho into queens.",service,positive
the service was excellent and the food was delicious.,food,positive
the service was excellent and the food was delicious.,service,positive
"thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up.",food,negative
a restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,food,positive
a restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,service,positive
"found service above average, but that could be because we were 13 of us.",service,positive
overall a disappointing experience for that price category.,price,negative
the food was exceptional.,food,positive
"the service is friendly, if not the most prompt in the world, the food is great, and the prices, while not cheap, won't put your wallet out of commission.",food,positive
"the service is friendly, if not the most prompt in the world, the food is great, and the prices, while not cheap, won't put your wallet out of commission.",service,positive
"and it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",price,positive
the waitresses are nice--also you can just get counter service sit.,service,positive
"you can certainly find restaurants that offer a superior fine dining experience, but for superb food at reasonable prices, la villa can't be beat.",price,positive
"you can certainly find restaurants that offer a superior fine dining experience, but for superb food at reasonable prices, la villa can't be beat.",food,positive
won't or can't is not in the service directory.,service,positive
"the red curry is weak and tasteless, the pad thai is stuck together and lumpy, the rice is often overcooked, and the seafood is pretty sketchy.",food,negative
the wine list is extensive and can easily hike up an otherwise reasonably priced meal.,price,positive
"i would recommend roxy's for that, but not for their food.",food,negative
"overall i was impressed and will return, it's a great qpr (quality to price ratio).",price,positive
"the puke green walls leave a lot to be desired, but the food is very good.",food,positive
big and soft as well as good lunch food.,food,positive
"no food snobs allowed, this place is for people who appreciate good food.",food,positive
i liked the food at this quasi-thai restaurant.,food,positive
by far the best salad i have had in a fast food restaurant.,food,positive
the wine the service was very good too.,service,positive
"i have been there many times, and food is good and consistent.",food,positive
"while sapphire is certainly not lacking in ambiance, and probably has the best decor of any indian restaurant i have been to in new york city, the food was not what i had hoped for.",food,negative
"the menu consisted of standard brassiere food, better then places like balthazar etc.",food,positive
"i have been a longtime fan of holy basil in the east village, and while i do believe their food has slightly slipped in quality, i have been hesitant to be disloyal.",food,negative
"you don't go to mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.",food,positive
"you don't go to mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.",service,negative
"the service is always bad though, don't expect much of anything from your server, and i would not recommend bringing a date here either.",service,negative
the service is descent even when this small place is packed.,service,positive
"the food here is rather good, but only if you like to wait for it.",food,positive
the food is inventive but still keeps traditional indian flavoring.,food,positive
service was very friendly.,service,positive
so all i'm trying to say is this restaurant is by far the best thai food restaurant i've ever been to.,food,positive
food was ok - fish was cooked well.,food,positive
we actually left hungry and went across the street to wo hop at 15 mott street for some good chinese food.,food,positive
the staff offers impeccable service.,service,positive
"this place doesn't compare with mamoun's in terms of price, freshness, value, and consisent quality, but that's just my opinion.",price,negative
"i have known about this secret for the last 13 years, emilio(the godfather) has continued to serve food and wine for the gods at mortal prices.",price,positive
"i have known about this secret for the last 13 years, emilio(the godfather) has continued to serve food and wine for the gods at mortal prices.",food,positive
"the service was attentive, yet unimposing, the food was far better than many notorious restaurants in midtown and the wine list is extensive and well priced.",price,positive
"the service was attentive, yet unimposing, the food was far better than many notorious restaurants in midtown and the wine list is extensive and well priced.",food,positive
"the service was attentive, yet unimposing, the food was far better than many notorious restaurants in midtown and the wine list is extensive and well priced.",service,positive
"the food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.",food,positive
the food is authentic italian - delicious!,food,positive
the service is good and ambience is good for a date or group outing.,ambience,positive
the service is good and ambience is good for a date or group outing.,service,positive
it's all about the food !!,food,positive
fast service.,service,positive
"the service was bad, the food took to forever to come, we sat on the upper level.",service,negative
"we a menu that rearely changes,e xcept for one or two specials, the quality and care they put in thier food in evident.",food,positive
this restaurant is a wonderful place to go many times and it is reasonably priced.,price,positive
"bottom line: b+ for the food, f for the service.",food,positive
"bottom line: b+ for the food, f for the service.",service,negative
"stick to dimsum, not super overpriced noodles.",price,negative
the service is fine and they allow you to enjoy the view.,service,positive
delicious simple food in nice outdoor atmosphere.,food,positive
the only fallback on this restaurant is the prices.,price,negative
the food is delicious.,food,positive
this place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.,ambience,positive
"the food is outstanding and the service is quick, friendly and very professional.",food,positive
"the food is outstanding and the service is quick, friendly and very professional.",service,positive
service is fast and friendly.,service,positive
the food was boring and expensive.,food,negative
"the ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",ambience,positive
the service is ok but could be better.,service,negative
"we love the food, drinks, and atmosphere!",food,positive
i was here a few weeks back and we had the worst customer service experience at a restaurant ever.,service,negative
"the vibe is very relaxed and cozy, service was great and the food was excellent!",food,positive
"the vibe is very relaxed and cozy, service was great and the food was excellent!",service,positive
the service was friendly and the atmosphere was casual.,service,positive
"this is the best secret place in midtown', i heard that from the bartender, after having brilliant food ( try steak with portobello mushrooms) and drinks on the bar last tuesday.",food,positive
the service was excellent - friendly and attentive.,service,positive
"in any event, even though its a bit on the pricey side, we still love this restaurant and will definitely go back.",price,negative
"i don't like indian food too much and this was delicious, however you want to factor that into the equation.",food,positive
and i would have to agree with the masses in terms of service - delivery is their achilles' heel.,service,negative
"nice ambiance, nice little bar, good bartender, francois, and good service.",service,positive
simple comfort food and what hot and lage portions.,food,positive
the bagels are also reasonably priced for nyc.,price,positive
"our waiter was fine, the place looks nice in that not-trying-too-hard way, but at those prices, a little more should be expected of your food.",price,negative
"our waiter was fine, the place looks nice in that not-trying-too-hard way, but at those prices, a little more should be expected of your food.",food,negative
"the food is spectacular, from the appitizers to the main course, and then of course the desserts, (wow) you'll need no more.",food,positive
"average to good thai food, but terrible delivery.",food,positive
"the food is amazing, rich pastas and fresh doughy pizza.",food,positive
"food was very good, but not what i would consider out of this world.",food,positive
"try the pad thai, it's fabulous and their prices are so cheap!",price,positive
food is great and inexpensive.,food,positive
the price very reasonable.,price,positive
"it can be a little confusing as to where one goes to order, but once the food is ordered, you are in for a treat.",food,positive
it was so bad i actually refused to pay for my food.,food,negative
i recommend this spot to anyone who enjoys  fine cuisine at reasonable prices.,price,positive
"the staff was very attentive, the ambience lovely, and the food superb.",food,positive
"the staff was very attentive, the ambience lovely, and the food superb.",ambience,positive
"i love when restaurants think using fancy expensive ingrediants makes the food fine cuisine, even with no idea how to use them.",food,negative
the pizza and wine were excellent-the service too--but what really made this place was the backyard dining area.,service,positive
"the waiters are sweet, the food is tasty and the bill is never too large.",food,positive
"the service was superb, they treat you like family.",service,positive
"we all had the tasting menu and unlike some of the other reviews, i felt there was more than enough food.",food,positive
"- for dessert we split chocolate cake and vanilla gelato (with espresso), which were tasty, but i thought a bit overpriced.",price,negative
the counter service is bad.,service,negative
"service here was great, food was fantastic.",food,positive
"service here was great, food was fantastic.",service,positive
"the food, served in small tasting portions (as an option) is very good with each dish being better than the next.",food,positive
"oh, but wait, we were out of drinks (which were also delightfully overpriced).",price,negative
the service is fantastic.,service,positive
"over time, the food quality has decreased substantially, it is a lot less crowded than it used to, and the service must definitely be part of the reason.",food,negative
"over time, the food quality has decreased substantially, it is a lot less crowded than it used to, and the service must definitely be part of the reason.",service,negative
great pizza and fantastic service.,service,positive
"while this is a pretty place in that overly cute french way, the food was insultingly horrible.",food,negative
"great wine list (italian), good food, service was initially fine.",food,positive
"unlike other places in nyc where the sandwiches you want only come as a triple-decker, here you can get what you want in a reasonably-sized portion (and price).",price,positive
of course the reason its so packed is because the food is so delicious!,food,positive
"the tables are crammed way too close, the menu is typical of any italian restaurant, and the wine list is simply overpriced.",price,negative
the food was actually aweful.,food,negative
we went around 9:30 on a friday and it had died down a bit by then so the service was great!,service,positive
the sushi is average and the prices are anything but.,price,negative
"the food is consistently wonderful - i've been coming here for years, and the owner has always been accomodating and friendly.",food,positive
and the food was fantastic.,food,positive
"if it isn't for the food (a+++), it must be the service or the ambience.",food,positive
"if it isn't for the food (a+++), it must be the service or the ambience.",ambience,positive
"if it isn't for the food (a+++), it must be the service or the ambience.",service,positive
"i like the ambience, it's very dark and original.",ambience,positive
this place is not worth the prices.,price,negative
"the last two times i ordered from here my food was soo spicy that  i could barely eat it, and the spice took away from the flavor of the dish.",food,negative
"$6 and there is much tasty food, all of it fresh and continually refilled.",food,positive
"just straight up cheap, good food.",food,positive
"the staff makes you feel at home, the food is great and the atmosphere is wonderful!",food,positive
edible but really a ripoff at those prices given whats in the area.,price,negative
the service was the only thing good about this restaurant.,service,positive
service- friendly and attentive.,service,positive
service was very prompt but slightly rushed.,service,positive
"great food, great decor, great service.",food,positive
"great food, great decor, great service.",service,positive
i've dined at alain ducasse's restaurant in monte carlo for half the price for the same excellent dining experience.,price,positive
"yeah, sometimes the service can be slow.",service,negative
the service was attentive without being overbearing and each dish we tried was wonderful from the spring rolls to the cod with pineapple tempura.,service,positive
"the only weird thing was if we got a bottle, the waitress would have simply multiplied the glass price x4, which makes no sense whatsoever.",price,negative
"the place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",service,positive
the service was excellent and the food was delicious.,food,positive
the service was excellent and the food was delicious.,service,positive
service was also very good.,service,positive
i'm happy to have nosh in the neighborhood and the food is very comforting.,food,positive
love the food.,food,positive
"the sushi has been from average to below average, the wait service has always been sub-par the atmosphere goes from nice to really irritating (if you sit in the area beyond the kitchen, the acousitcs are horrid, everything echoes is extremely loud).",service,negative
"alone for 100 bucks, it is really overprice.",price,negative
but the service was a bit slow.,service,negative
spreads and toppings are great - though a bit pricey.,price,negative
and their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,price,negative
and their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,food,negative
and their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,service,negative
"the service was excellent, the food was excellent, but the entire experience was very cool.",food,positive
"the service was excellent, the food was excellent, but the entire experience was very cool.",service,positive
the service is good and the resturant is clean.,service,positive
"the cafe itself was really nice with comfortable outdoor chairs and tables, but the service could have been better.",service,negative
food is excellent.,food,positive
"both are very reasonably priced (around $8 for dinner and $5 for lunch), and are delicious and filling.",price,positive
"ambience is so cute and quaint, good for business although we were there on vacation.",ambience,positive
"good food at the restaurant (a bit expensive, but great if you want to impress your date).",food,positive
i highly recommend caviar russe to anyone who wants delicious top grade caviar and fantastic service.,service,positive
i have eaten there 3-4 times and the food was always good.,food,positive
the service was great as well.,service,positive
"the food was delicious, the atmosphere was relaxed, and we have now adopted plate 347 as our secret on second!",food,positive
"i found the food, service and value exceptional everytime i have been there.",food,positive
"i found the food, service and value exceptional everytime i have been there.",service,positive
we ate at this thai place following the reviews but very unhappy with the foods.,food,negative
"the drinks are a saving grace, but service staff, please, get over yourselves.",service,negative
the prices are exceptionally reasonable for food of this caliber.,price,positive
the prices are exceptionally reasonable for food of this caliber.,food,positive
i had been a regular due to the consistently good food and ease of getting a table.,food,positive
"the food is good, i can't lie.",food,positive
"great food, lt's of it, more then one person can eat!",food,positive
"the ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",price,positive
"the ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",food,positive
"the ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",ambience,positive
the food was very well prepared.,food,positive
really tasty spring rolls and noodles for a good price though.,price,positive
"the food arrived 20 minutes after i called, cold and soggy.",food,negative
"the prices cannot be beat for the quality, quantity, freshness and taste.",price,positive
incredibly poor service an food quality at exorbitant prices.,price,negative
incredibly poor service an food quality at exorbitant prices.,food,negative
incredibly poor service an food quality at exorbitant prices.,service,negative
we usually just get some of the dinner specials and they are very reasonably priced and very tasty.,price,positive
horrible food and horrible service.,food,negative
horrible food and horrible service.,service,negative
they treated us well and the food was extremely fresh and well-prepared.,food,positive
"even if the food wasn't this good, the garden is a great place to sit outside and relax.",food,positive
"volare virgins or weekly regulars, everyone gets treated the same and you can't ask for more than that when the service is this friendly.",service,positive
"the food came out wrong, the waiter was no where to be found and the wine showed up at the end of the meal.",food,negative
no you're going to go back because the food was good.,food,positive
the food was great and the service was even better.,food,positive
the food was great and the service was even better.,service,positive
i'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,service,positive
"they did give a 15% discount at the end, wasn't enough, as they knew the service was horrible.",service,negative
"just because it's cheap does not mean the portions are small or the food is nasty, it is great!",food,positive
"however, it's the service that leaves a bad taste in my mouth.",service,negative
the price was extremely reasonable for the appetizers and food we ate.,price,positive
all in all the food was above average and i would return to see how they operate with four or less dinners.,food,positive
"delicious food, excellent service, and a pretty atmosphere make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch!",food,positive
"delicious food, excellent service, and a pretty atmosphere make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch!",service,positive
"great wine, great food.",food,positive
the food and staff always surprise me with the new heights they are taken to.,food,positive
"however, if you want great food at a great price and don't mind the decor, you can't beat this place.",price,positive
"however, if you want great food at a great price and don't mind the decor, you can't beat this place.",food,positive
the service is outstanding and my crab-cake eggs benedict could not have been better.,service,positive
"its location is good and the fact that hutner college is near and their prices are very reasonable, makes students go back to suan again and again.",price,positive
deliveries often take up to an hour and the prices are higher than most other pizzerias in the area.,price,negative
"from the appetizers we ate, the dim sum and other variety of foods, it was impossible to criticize the food.",food,positive
